Epoch 1, Loss: 1.400098204612732
Epoch 2, Loss: 1.397648811340332
Epoch 3, Loss: 1.394874095916748
Epoch 4, Loss: 1.3919872045516968
Epoch 5, Loss: 1.3892885446548462
Epoch 6, Loss: 1.3866500854492188
Epoch 7, Loss: 1.383813500404358
Epoch 8, Loss: 1.3808131217956543
Epoch 9, Loss: 1.3779196739196777
Epoch 10, Loss: 1.3750308752059937
Epoch 11, Loss: 1.3721513748168945
Epoch 12, Loss: 1.3692821264266968
Epoch 13, Loss: 1.3664227724075317
Epoch 14, Loss: 1.3635740280151367
Epoch 15, Loss: 1.3607354164123535
Epoch 16, Loss: 1.357993721961975
Epoch 17, Loss: 1.3553248643875122
Epoch 18, Loss: 1.3526722192764282
Epoch 19, Loss: 1.3500343561172485
Epoch 20, Loss: 1.3474093675613403
Epoch 21, Loss: 1.3447961807250977
Epoch 22, Loss: 1.3421930074691772
Epoch 23, Loss: 1.3395987749099731
Epoch 24, Loss: 1.3370121717453003
Epoch 25, Loss: 1.3344711065292358
Epoch 26, Loss: 1.3319426774978638
Epoch 27, Loss: 1.3294185400009155
Epoch 28, Loss: 1.326897144317627
Epoch 29, Loss: 1.324377417564392
Epoch 30, Loss: 1.3218578100204468
Epoch 31, Loss: 1.3193374872207642
Epoch 32, Loss: 1.3168150186538696
Epoch 33, Loss: 1.3142896890640259
Epoch 34, Loss: 1.3117598295211792
Epoch 35, Loss: 1.3092252016067505
Epoch 36, Loss: 1.3066844940185547
Epoch 37, Loss: 1.304137110710144
Epoch 38, Loss: 1.3015820980072021
Epoch 39, Loss: 1.2990187406539917
Epoch 40, Loss: 1.2964574098587036
Epoch 41, Loss: 1.2939056158065796
Epoch 42, Loss: 1.2913423776626587
Epoch 43, Loss: 1.2887667417526245
Epoch 44, Loss: 1.286178708076477
Epoch 45, Loss: 1.2835773229599
Epoch 46, Loss: 1.2809628248214722
Epoch 47, Loss: 1.278334379196167
Epoch 48, Loss: 1.2756916284561157
Epoch 49, Loss: 1.2730343341827393
Epoch 50, Loss: 1.2703620195388794
Epoch 51, Loss: 1.2676745653152466
Epoch 52, Loss: 1.2649716138839722
Epoch 53, Loss: 1.2622524499893188
Epoch 54, Loss: 1.2595174312591553
Epoch 55, Loss: 1.2567662000656128
Epoch 56, Loss: 1.2539985179901123
Epoch 57, Loss: 1.2512140274047852
Epoch 58, Loss: 1.2484129667282104
Epoch 59, Loss: 1.245595097541809
Epoch 60, Loss: 1.2427605390548706
Epoch 61, Loss: 1.239909052848816
Epoch 62, Loss: 1.2370405197143555
Epoch 63, Loss: 1.2341551780700684
Epoch 64, Loss: 1.2312530279159546
Epoch 65, Loss: 1.2283340692520142
Epoch 66, Loss: 1.2253985404968262
Epoch 67, Loss: 1.2224465608596802
Epoch 68, Loss: 1.2194783687591553
Epoch 69, Loss: 1.216494083404541
Epoch 70, Loss: 1.2134937047958374
Epoch 71, Loss: 1.2104780673980713
Epoch 72, Loss: 1.2074470520019531
Epoch 73, Loss: 1.204400897026062
Epoch 74, Loss: 1.2013400793075562
Epoch 75, Loss: 1.1982650756835938
Epoch 76, Loss: 1.1951764822006226
Epoch 77, Loss: 1.192073941230774
Epoch 78, Loss: 1.188959002494812
Epoch 79, Loss: 1.1858311891555786
Epoch 80, Loss: 1.1826914548873901
Epoch 81, Loss: 1.1795401573181152
Epoch 82, Loss: 1.1763781309127808
Epoch 83, Loss: 1.1732056140899658
Epoch 84, Loss: 1.1700233221054077
Epoch 85, Loss: 1.1668320894241333
Epoch 86, Loss: 1.1636319160461426
Epoch 87, Loss: 1.160423994064331
Epoch 88, Loss: 1.1572085618972778
Epoch 89, Loss: 1.1539866924285889
Epoch 90, Loss: 1.1507586240768433
Epoch 91, Loss: 1.1475250720977783
Epoch 92, Loss: 1.1442869901657104
Epoch 93, Loss: 1.1410447359085083
Epoch 94, Loss: 1.1377992630004883
Epoch 95, Loss: 1.134550929069519
Epoch 96, Loss: 1.1313005685806274
Epoch 97, Loss: 1.1280490159988403
Epoch 98, Loss: 1.1247965097427368
Epoch 99, Loss: 1.1215442419052124
Epoch 100, Loss: 1.1182924509048462

Original sequence: A A B B C C A A B B C C
Generated sequence: A A A A A A A A A A A A
