Epoch 1, Loss: 1.3495491743087769
Epoch 2, Loss: 1.348065733909607
Epoch 3, Loss: 1.3465924263000488
Epoch 4, Loss: 1.3451509475708008
Epoch 5, Loss: 1.3437185287475586
Epoch 6, Loss: 1.3421353101730347
Epoch 7, Loss: 1.3404256105422974
Epoch 8, Loss: 1.3387084007263184
Epoch 9, Loss: 1.3369868993759155
Epoch 10, Loss: 1.3352783918380737
Epoch 11, Loss: 1.3335548639297485
Epoch 12, Loss: 1.331851840019226
Epoch 13, Loss: 1.3301595449447632
Epoch 14, Loss: 1.3284682035446167
Epoch 15, Loss: 1.3267730474472046
Epoch 16, Loss: 1.3250741958618164
Epoch 17, Loss: 1.3233712911605835
Epoch 18, Loss: 1.3216640949249268
Epoch 19, Loss: 1.3199517726898193
Epoch 20, Loss: 1.318233609199524
Epoch 21, Loss: 1.316508412361145
Epoch 22, Loss: 1.3147879838943481
Epoch 23, Loss: 1.3130861520767212
Epoch 24, Loss: 1.3113528490066528
Epoch 25, Loss: 1.309615969657898
Epoch 26, Loss: 1.307865858078003
Epoch 27, Loss: 1.3061038255691528
Epoch 28, Loss: 1.3043361902236938
Epoch 29, Loss: 1.3025627136230469
Epoch 30, Loss: 1.3007296323776245
Epoch 31, Loss: 1.298876166343689
Epoch 32, Loss: 1.2970045804977417
Epoch 33, Loss: 1.2951217889785767
Epoch 34, Loss: 1.2932175397872925
Epoch 35, Loss: 1.2912904024124146
Epoch 36, Loss: 1.289361834526062
Epoch 37, Loss: 1.2874382734298706
Epoch 38, Loss: 1.2854900360107422
Epoch 39, Loss: 1.2835160493850708
Epoch 40, Loss: 1.2815157175064087
Epoch 41, Loss: 1.2795007228851318
Epoch 42, Loss: 1.2774584293365479
Epoch 43, Loss: 1.2753829956054688
Epoch 44, Loss: 1.273269534111023
Epoch 45, Loss: 1.2711220979690552
Epoch 46, Loss: 1.268938660621643
Epoch 47, Loss: 1.2667179107666016
Epoch 48, Loss: 1.2644721269607544
Epoch 49, Loss: 1.2622250318527222
Epoch 50, Loss: 1.2599531412124634
Epoch 51, Loss: 1.2576552629470825
Epoch 52, Loss: 1.2553335428237915
Epoch 53, Loss: 1.252994179725647
Epoch 54, Loss: 1.2506357431411743
Epoch 55, Loss: 1.2482577562332153
Epoch 56, Loss: 1.245862364768982
Epoch 57, Loss: 1.243451476097107
Epoch 58, Loss: 1.2410248517990112
Epoch 59, Loss: 1.238582730293274
Epoch 60, Loss: 1.2361279726028442
Epoch 61, Loss: 1.2336593866348267
Epoch 62, Loss: 1.2311803102493286
Epoch 63, Loss: 1.2286893129348755
Epoch 64, Loss: 1.2261863946914673
Epoch 65, Loss: 1.2236744165420532
Epoch 66, Loss: 1.2211520671844482
Epoch 67, Loss: 1.2186198234558105
Epoch 68, Loss: 1.2160812616348267
Epoch 69, Loss: 1.21353280544281
Epoch 70, Loss: 1.2109789848327637
Epoch 71, Loss: 1.2084189653396606
Epoch 72, Loss: 1.2058526277542114
Epoch 73, Loss: 1.2032833099365234
Epoch 74, Loss: 1.200705647468567
Epoch 75, Loss: 1.198125958442688
Epoch 76, Loss: 1.1955413818359375
Epoch 77, Loss: 1.1929527521133423
Epoch 78, Loss: 1.1903618574142456
Epoch 79, Loss: 1.1877686977386475
Epoch 80, Loss: 1.1851619482040405
Epoch 81, Loss: 1.182498574256897
Epoch 82, Loss: 1.1798222064971924
Epoch 83, Loss: 1.1771334409713745
Epoch 84, Loss: 1.1744587421417236
Epoch 85, Loss: 1.1717865467071533
Epoch 86, Loss: 1.1690605878829956
Epoch 87, Loss: 1.1663932800292969
Epoch 88, Loss: 1.1637417078018188
Epoch 89, Loss: 1.161093831062317
Epoch 90, Loss: 1.1584495306015015
Epoch 91, Loss: 1.155819296836853
Epoch 92, Loss: 1.153198003768921
Epoch 93, Loss: 1.1505779027938843
Epoch 94, Loss: 1.1479593515396118
Epoch 95, Loss: 1.1453427076339722
Epoch 96, Loss: 1.1427313089370728
Epoch 97, Loss: 1.1401281356811523
Epoch 98, Loss: 1.1375290155410767
Epoch 99, Loss: 1.1349313259124756
Epoch 100, Loss: 1.1323373317718506

Original sequence: A A B B C C A A B B C C
Generated sequence: A A A A A A A A A A A A
