Epoch 1, Loss: 1.5668935775756836
Epoch 2, Loss: 1.5660700798034668
Epoch 3, Loss: 1.5652703046798706
Epoch 4, Loss: 1.5644786357879639
Epoch 5, Loss: 1.5637269020080566
Epoch 6, Loss: 1.562824010848999
Epoch 7, Loss: 1.5618089437484741
Epoch 8, Loss: 1.560778021812439
Epoch 9, Loss: 1.5596245527267456
Epoch 10, Loss: 1.5586817264556885
Epoch 11, Loss: 1.5579447746276855
Epoch 12, Loss: 1.5572417974472046
Epoch 13, Loss: 1.5565143823623657
Epoch 14, Loss: 1.5557554960250854
Epoch 15, Loss: 1.5549672842025757
Epoch 16, Loss: 1.554155707359314
Epoch 17, Loss: 1.5533194541931152
Epoch 18, Loss: 1.5524576902389526
Epoch 19, Loss: 1.5515735149383545
Epoch 20, Loss: 1.5506794452667236
Epoch 21, Loss: 1.5497684478759766
Epoch 22, Loss: 1.5488340854644775
Epoch 23, Loss: 1.5478739738464355
Epoch 24, Loss: 1.5468868017196655
Epoch 25, Loss: 1.5458731651306152
Epoch 26, Loss: 1.5448319911956787
Epoch 27, Loss: 1.5437620878219604
Epoch 28, Loss: 1.5426652431488037
Epoch 29, Loss: 1.5416514873504639
Epoch 30, Loss: 1.5406060218811035
Epoch 31, Loss: 1.5395004749298096
Epoch 32, Loss: 1.5383453369140625
Epoch 33, Loss: 1.5371407270431519
Epoch 34, Loss: 1.5358974933624268
Epoch 35, Loss: 1.5346587896347046
Epoch 36, Loss: 1.53341543674469
Epoch 37, Loss: 1.5321286916732788
Epoch 38, Loss: 1.530789852142334
Epoch 39, Loss: 1.5293989181518555
Epoch 40, Loss: 1.527969479560852
Epoch 41, Loss: 1.5265129804611206
Epoch 42, Loss: 1.5250351428985596
Epoch 43, Loss: 1.5235204696655273
Epoch 44, Loss: 1.5219430923461914
Epoch 45, Loss: 1.5203160047531128
Epoch 46, Loss: 1.51864492893219
Epoch 47, Loss: 1.5169878005981445
Epoch 48, Loss: 1.515265703201294
Epoch 49, Loss: 1.513485312461853
Epoch 50, Loss: 1.511644721031189
Epoch 51, Loss: 1.509742021560669
Epoch 52, Loss: 1.5077855587005615
Epoch 53, Loss: 1.5058188438415527
Epoch 54, Loss: 1.5038044452667236
Epoch 55, Loss: 1.5017279386520386
Epoch 56, Loss: 1.4995882511138916
Epoch 57, Loss: 1.497391939163208
Epoch 58, Loss: 1.4951364994049072
Epoch 59, Loss: 1.492822289466858
Epoch 60, Loss: 1.4904544353485107
Epoch 61, Loss: 1.4880588054656982
Epoch 62, Loss: 1.4855927228927612
Epoch 63, Loss: 1.4830631017684937
Epoch 64, Loss: 1.4804736375808716
Epoch 65, Loss: 1.4778176546096802
Epoch 66, Loss: 1.4751113653182983
Epoch 67, Loss: 1.4723602533340454
Epoch 68, Loss: 1.4695549011230469
Epoch 69, Loss: 1.4666848182678223
Epoch 70, Loss: 1.4637523889541626
Epoch 71, Loss: 1.4607797861099243
Epoch 72, Loss: 1.4577500820159912
Epoch 73, Loss: 1.4546575546264648
Epoch 74, Loss: 1.4515055418014526
Epoch 75, Loss: 1.4482946395874023
Epoch 76, Loss: 1.4450466632843018
Epoch 77, Loss: 1.4417409896850586
Epoch 78, Loss: 1.4383922815322876
Epoch 79, Loss: 1.4349919557571411
Epoch 80, Loss: 1.4315354824066162
Epoch 81, Loss: 1.4280463457107544
Epoch 82, Loss: 1.4245100021362305
Epoch 83, Loss: 1.4209269285202026
Epoch 84, Loss: 1.4173001050949097
Epoch 85, Loss: 1.413654088973999
Epoch 86, Loss: 1.4099647998809814
Epoch 87, Loss: 1.4062597751617432
Epoch 88, Loss: 1.4025228023529053
Epoch 89, Loss: 1.3987590074539185
Epoch 90, Loss: 1.3949847221374512
Epoch 91, Loss: 1.391185998916626
Epoch 92, Loss: 1.387385606765747
Epoch 93, Loss: 1.3835856914520264
Epoch 94, Loss: 1.3797756433486938
Epoch 95, Loss: 1.375960350036621
Epoch 96, Loss: 1.3721504211425781
Epoch 97, Loss: 1.3683466911315918
Epoch 98, Loss: 1.3645440340042114
Epoch 99, Loss: 1.3607603311538696
Epoch 100, Loss: 1.3569811582565308
Epoch 101, Loss: 1.353211760520935
Epoch 102, Loss: 1.3494561910629272
Epoch 103, Loss: 1.3457492589950562
Epoch 104, Loss: 1.3420679569244385
Epoch 105, Loss: 1.338410496711731
Epoch 106, Loss: 1.3347786664962769
Epoch 107, Loss: 1.3311793804168701
Epoch 108, Loss: 1.3276289701461792
Epoch 109, Loss: 1.3241087198257446
Epoch 110, Loss: 1.320618987083435
Epoch 111, Loss: 1.317185640335083
Epoch 112, Loss: 1.3137861490249634
Epoch 113, Loss: 1.3104379177093506
Epoch 114, Loss: 1.3071316480636597
Epoch 115, Loss: 1.3038731813430786
Epoch 116, Loss: 1.3006633520126343
Epoch 117, Loss: 1.297493577003479
Epoch 118, Loss: 1.2943670749664307
Epoch 119, Loss: 1.291286826133728
Epoch 120, Loss: 1.288259744644165
Epoch 121, Loss: 1.2852729558944702
Epoch 122, Loss: 1.282333493232727
Epoch 123, Loss: 1.279442310333252
Epoch 124, Loss: 1.2765872478485107
Epoch 125, Loss: 1.2737910747528076
Epoch 126, Loss: 1.2710320949554443
Epoch 127, Loss: 1.2683088779449463
Epoch 128, Loss: 1.2656340599060059
Epoch 129, Loss: 1.2630003690719604
Epoch 130, Loss: 1.2604058980941772
Epoch 131, Loss: 1.2578508853912354
Epoch 132, Loss: 1.2553315162658691
Epoch 133, Loss: 1.252845048904419
Epoch 134, Loss: 1.250403881072998
