Epoch 1, Loss: 1.3736752271652222
Epoch 2, Loss: 1.3724652528762817
Epoch 3, Loss: 1.37116277217865
Epoch 4, Loss: 1.3698850870132446
Epoch 5, Loss: 1.3686717748641968
Epoch 6, Loss: 1.367407202720642
Epoch 7, Loss: 1.3661127090454102
Epoch 8, Loss: 1.3648266792297363
Epoch 9, Loss: 1.3635692596435547
Epoch 10, Loss: 1.362305998802185
Epoch 11, Loss: 1.3610090017318726
Epoch 12, Loss: 1.359734058380127
Epoch 13, Loss: 1.35845148563385
Epoch 14, Loss: 1.357161521911621
Epoch 15, Loss: 1.3558636903762817
Epoch 16, Loss: 1.354557991027832
Epoch 17, Loss: 1.3532439470291138
Epoch 18, Loss: 1.3519210815429688
Epoch 19, Loss: 1.350589394569397
Epoch 20, Loss: 1.349247932434082
Epoch 21, Loss: 1.3479018211364746
Epoch 22, Loss: 1.346539855003357
Epoch 23, Loss: 1.3451714515686035
Epoch 24, Loss: 1.343790888786316
Epoch 25, Loss: 1.3423970937728882
Epoch 26, Loss: 1.3409839868545532
Epoch 27, Loss: 1.3395203351974487
Epoch 28, Loss: 1.3380330801010132
Epoch 29, Loss: 1.3365378379821777
Epoch 30, Loss: 1.3350204229354858
Epoch 31, Loss: 1.3334708213806152
Epoch 32, Loss: 1.331960678100586
Epoch 33, Loss: 1.330474853515625
Epoch 34, Loss: 1.3289602994918823
Epoch 35, Loss: 1.3274197578430176
Epoch 36, Loss: 1.3258603811264038
Epoch 37, Loss: 1.3243064880371094
Epoch 38, Loss: 1.322729468345642
Epoch 39, Loss: 1.3211301565170288
Epoch 40, Loss: 1.3195093870162964
Epoch 41, Loss: 1.3178290128707886
Epoch 42, Loss: 1.316085696220398
Epoch 43, Loss: 1.3142980337142944
Epoch 44, Loss: 1.3124631643295288
Epoch 45, Loss: 1.310591697692871
Epoch 46, Loss: 1.3086844682693481
Epoch 47, Loss: 1.3067461252212524
Epoch 48, Loss: 1.3047722578048706
Epoch 49, Loss: 1.3027621507644653
Epoch 50, Loss: 1.3007222414016724
Epoch 51, Loss: 1.2986483573913574
Epoch 52, Loss: 1.296540379524231
Epoch 53, Loss: 1.2943984270095825
Epoch 54, Loss: 1.2922223806381226
Epoch 55, Loss: 1.2900117635726929
Epoch 56, Loss: 1.2877663373947144
Epoch 57, Loss: 1.2854862213134766
Epoch 58, Loss: 1.2831727266311646
Epoch 59, Loss: 1.2808237075805664
Epoch 60, Loss: 1.278438687324524
Epoch 61, Loss: 1.2760173082351685
Epoch 62, Loss: 1.2735595703125
Epoch 63, Loss: 1.2711021900177002
Epoch 64, Loss: 1.2686117887496948
Epoch 65, Loss: 1.2660709619522095
Epoch 66, Loss: 1.263482689857483
Epoch 67, Loss: 1.2608486413955688
Epoch 68, Loss: 1.2582062482833862
Epoch 69, Loss: 1.2555394172668457
Epoch 70, Loss: 1.2528307437896729
Epoch 71, Loss: 1.2500799894332886
Epoch 72, Loss: 1.2472881078720093
Epoch 73, Loss: 1.244455337524414
Epoch 74, Loss: 1.2415827512741089
Epoch 75, Loss: 1.2387042045593262
Epoch 76, Loss: 1.2357892990112305
Epoch 77, Loss: 1.2328245639801025
Epoch 78, Loss: 1.2298120260238647
Epoch 79, Loss: 1.2267893552780151
Epoch 80, Loss: 1.2237404584884644
Epoch 81, Loss: 1.2206510305404663
Epoch 82, Loss: 1.2175226211547852
Epoch 83, Loss: 1.2143570184707642
Epoch 84, Loss: 1.2111562490463257
Epoch 85, Loss: 1.2079488039016724
Epoch 86, Loss: 1.2047098875045776
Epoch 87, Loss: 1.2014226913452148
Epoch 88, Loss: 1.1981279850006104
Epoch 89, Loss: 1.1948091983795166
Epoch 90, Loss: 1.1914538145065308
Epoch 91, Loss: 1.1880697011947632
Epoch 92, Loss: 1.1846598386764526
Epoch 93, Loss: 1.181227207183838
Epoch 94, Loss: 1.1777746677398682
Epoch 95, Loss: 1.1743470430374146
Epoch 96, Loss: 1.1709319353103638
Epoch 97, Loss: 1.1674836874008179
Epoch 98, Loss: 1.1640375852584839
Epoch 99, Loss: 1.1605890989303589
Epoch 100, Loss: 1.1571327447891235
Epoch 101, Loss: 1.1536725759506226
Epoch 102, Loss: 1.1502114534378052
Epoch 103, Loss: 1.1467525959014893
Epoch 104, Loss: 1.1432987451553345
Epoch 105, Loss: 1.1398528814315796
Epoch 106, Loss: 1.1364169120788574
Epoch 107, Loss: 1.1329928636550903
Epoch 108, Loss: 1.1295826435089111
Epoch 109, Loss: 1.1261873245239258
Epoch 110, Loss: 1.1228080987930298
Epoch 111, Loss: 1.1194453239440918
Epoch 112, Loss: 1.1160997152328491
Epoch 113, Loss: 1.112770915031433
Epoch 114, Loss: 1.1094590425491333
Epoch 115, Loss: 1.1061638593673706
Epoch 116, Loss: 1.1030349731445312
Epoch 117, Loss: 1.0999171733856201
Epoch 118, Loss: 1.0968098640441895
Epoch 119, Loss: 1.0937221050262451
Epoch 120, Loss: 1.0906623601913452
Epoch 121, Loss: 1.0876374244689941
Epoch 122, Loss: 1.0846529006958008
Epoch 123, Loss: 1.0817123651504517
Epoch 124, Loss: 1.0788183212280273
Epoch 125, Loss: 1.0759719610214233
Epoch 126, Loss: 1.073172926902771
Epoch 127, Loss: 1.0704197883605957
Epoch 128, Loss: 1.0677106380462646
Epoch 129, Loss: 1.0650423765182495
Epoch 130, Loss: 1.062412142753601
Epoch 131, Loss: 1.0598162412643433
Epoch 132, Loss: 1.0572518110275269
Epoch 133, Loss: 1.0547153949737549
Epoch 134, Loss: 1.0522044897079468
