Epoch 1, Loss: 1.3893831968307495
Epoch 2, Loss: 1.3875679969787598
Epoch 3, Loss: 1.3857520818710327
Epoch 4, Loss: 1.3839315176010132
Epoch 5, Loss: 1.382110595703125
Epoch 6, Loss: 1.3802903890609741
Epoch 7, Loss: 1.37847101688385
Epoch 8, Loss: 1.3766506910324097
Epoch 9, Loss: 1.374829649925232
Epoch 10, Loss: 1.3730076551437378
Epoch 11, Loss: 1.3711827993392944
Epoch 12, Loss: 1.369355320930481
Epoch 13, Loss: 1.3675252199172974
Epoch 14, Loss: 1.3656913042068481
Epoch 15, Loss: 1.363852858543396
Epoch 16, Loss: 1.3620086908340454
Epoch 17, Loss: 1.3601585626602173
Epoch 18, Loss: 1.3583015203475952
Epoch 19, Loss: 1.3564358949661255
Epoch 20, Loss: 1.354561448097229
Epoch 21, Loss: 1.3526767492294312
Epoch 22, Loss: 1.3507808446884155
Epoch 23, Loss: 1.3488726615905762
Epoch 24, Loss: 1.3469510078430176
Epoch 25, Loss: 1.3450145721435547
Epoch 26, Loss: 1.343061923980713
Epoch 27, Loss: 1.3410919904708862
Epoch 28, Loss: 1.339102864265442
Epoch 29, Loss: 1.3370932340621948
Epoch 30, Loss: 1.3350615501403809
Epoch 31, Loss: 1.3330057859420776
Epoch 32, Loss: 1.3309240341186523
Epoch 33, Loss: 1.3288143873214722
Epoch 34, Loss: 1.3266750574111938
Epoch 35, Loss: 1.3245042562484741
Epoch 36, Loss: 1.322299599647522
Epoch 37, Loss: 1.3200589418411255
Epoch 38, Loss: 1.317780613899231
Epoch 39, Loss: 1.3154622316360474
Epoch 40, Loss: 1.3131016492843628
Epoch 41, Loss: 1.3106964826583862
Epoch 42, Loss: 1.3082448244094849
Epoch 43, Loss: 1.3057444095611572
Epoch 44, Loss: 1.3031926155090332
Epoch 45, Loss: 1.3005876541137695
Epoch 46, Loss: 1.2979272603988647
Epoch 47, Loss: 1.2952091693878174
Epoch 48, Loss: 1.2924314737319946
Epoch 49, Loss: 1.289591908454895
Epoch 50, Loss: 1.2866886854171753
Epoch 51, Loss: 1.2837198972702026
Epoch 52, Loss: 1.2806841135025024
Epoch 53, Loss: 1.2775791883468628
Epoch 54, Loss: 1.274404764175415
Epoch 55, Loss: 1.2711621522903442
Epoch 56, Loss: 1.2679667472839355
Epoch 57, Loss: 1.2647172212600708
Epoch 58, Loss: 1.2613937854766846
Epoch 59, Loss: 1.2579988241195679
Epoch 60, Loss: 1.254534125328064
Epoch 61, Loss: 1.2510019540786743
Epoch 62, Loss: 1.2474051713943481
Epoch 63, Loss: 1.243746280670166
Epoch 64, Loss: 1.240028738975525
Epoch 65, Loss: 1.2362565994262695
Epoch 66, Loss: 1.2324340343475342
Epoch 67, Loss: 1.22856605052948
Epoch 68, Loss: 1.2246582508087158
Epoch 69, Loss: 1.2207170724868774
Epoch 70, Loss: 1.2167493104934692
Epoch 71, Loss: 1.2127622365951538
Epoch 72, Loss: 1.2087644338607788
Epoch 73, Loss: 1.2047643661499023
Epoch 74, Loss: 1.2007712125778198
Epoch 75, Loss: 1.1967941522598267
Epoch 76, Loss: 1.1928431987762451
Epoch 77, Loss: 1.1889277696609497
Epoch 78, Loss: 1.1850756406784058
Epoch 79, Loss: 1.1812567710876465
Epoch 80, Loss: 1.1775091886520386
Epoch 81, Loss: 1.1738530397415161
Epoch 82, Loss: 1.170249104499817
Epoch 83, Loss: 1.1667295694351196
Epoch 84, Loss: 1.1632908582687378
Epoch 85, Loss: 1.159951090812683
Epoch 86, Loss: 1.1566988229751587
Epoch 87, Loss: 1.1535347700119019
Epoch 88, Loss: 1.1504589319229126
Epoch 89, Loss: 1.1474603414535522
Epoch 90, Loss: 1.1445355415344238
Epoch 91, Loss: 1.1416962146759033
Epoch 92, Loss: 1.1389433145523071
Epoch 93, Loss: 1.1362781524658203
Epoch 94, Loss: 1.1337023973464966
Epoch 95, Loss: 1.131218433380127
Epoch 96, Loss: 1.1288293600082397
Epoch 97, Loss: 1.126538634300232
Epoch 98, Loss: 1.124350905418396
Epoch 99, Loss: 1.1222697496414185
Epoch 100, Loss: 1.1203006505966187
